,episode length,cumulative reward,average reward
0,662,20.0,0.030211480362537766
1,776,20.0,0.02577319587628866
2,1267,48.0,0.037884767166535126
3,867,43.0,0.049596309111880045
4,1080,39.0,0.03611111111111111
5,904,35.0,0.03871681415929203
6,852,24.0,0.028169014084507043
7,903,32.0,0.035437430786267994
8,963,30.0,0.03115264797507788
9,1122,49.0,0.04367201426024955
10,848,31.0,0.036556603773584904
11,826,23.0,0.02784503631961259
12,1117,38.0,0.03401969561324977
13,1268,48.0,0.03785488958990536
14,804,25.0,0.03109452736318408
15,1267,48.0,0.037884767166535126
16,1455,54.0,0.03711340206185567
17,861,24.0,0.027874564459930314
18,1173,45.0,0.03836317135549872
19,1040,45.0,0.04326923076923077
20,883,37.0,0.04190260475651189
21,899,35.0,0.0389321468298109
22,1055,55.0,0.052132701421800945
23,989,41.0,0.041456016177957536
24,557,16.0,0.02872531418312388
25,783,26.0,0.033205619412515965
26,1325,64.0,0.04830188679245283
27,878,38.0,0.04328018223234624
28,968,37.0,0.038223140495867766
29,763,25.0,0.0327653997378768
30,1225,44.0,0.035918367346938776
31,827,28.0,0.03385731559854897
32,965,44.0,0.04559585492227979
33,958,30.0,0.031315240083507306
34,823,36.0,0.04374240583232078
35,1027,35.0,0.034079844206426485
36,884,29.0,0.032805429864253395
37,1032,49.0,0.04748062015503876
38,1385,58.0,0.04187725631768953
39,1048,35.0,0.033396946564885496
40,1095,43.0,0.039269406392694065
41,919,27.0,0.029379760609358
42,732,28.0,0.03825136612021858
43,871,28.0,0.03214695752009185
44,905,22.0,0.02430939226519337
45,937,43.0,0.04589114194236926
46,1381,57.0,0.041274438812454746
47,584,13.0,0.02226027397260274
48,788,19.0,0.024111675126903553
49,1025,33.0,0.03219512195121951
50,956,39.0,0.04079497907949791
51,904,26.0,0.028761061946902654
52,859,22.0,0.025611175785797437
53,960,39.0,0.040625
54,477,10.0,0.020964360587002098
55,1474,68.0,0.04613297150610583
56,1101,37.0,0.03360581289736603
57,965,35.0,0.03626943005181347
