,episode length,cumulative reward,average reward
0,1514,48.0,0.031704095112285335
1,1039,36.0,0.03464870067372473
2,1793,84.0,0.046848856664807585
3,2128,84.0,0.039473684210526314
4,1047,65.0,0.06208213944603629
5,1807,75.0,0.04150525733259546
6,1623,51.0,0.031423290203327174
7,2067,91.0,0.0440251572327044
8,2217,76.0,0.034280559314388816
9,947,28.0,0.029567053854276663
10,849,68.0,0.0800942285041225
11,1232,33.0,0.026785714285714284
12,921,26.0,0.02823018458197611
13,1537,87.0,0.05660377358490566
14,1573,77.0,0.04895104895104895
15,1369,48.0,0.03506208911614317
16,1365,63.0,0.046153846153846156
17,1307,37.0,0.028309104820198928
18,1561,77.0,0.04932735426008968
19,1123,29.0,0.025823686553873553
20,899,35.0,0.0389321468298109
21,939,68.0,0.0724174653887114
22,1464,39.0,0.02663934426229508
23,1348,65.0,0.04821958456973294
24,960,25.0,0.026041666666666668
25,1059,53.0,0.05004721435316336
26,1048,30.0,0.02862595419847328
27,1744,72.0,0.04128440366972477
28,1130,34.0,0.03008849557522124
29,1972,79.0,0.04006085192697769
30,1335,47.0,0.03520599250936329
31,1231,72.0,0.05848903330625508
32,1127,38.0,0.03371783496007098
33,1686,76.0,0.045077105575326216
34,1861,76.0,0.04083825900053734
35,1583,91.0,0.0574857864813645
36,1784,61.0,0.034192825112107625
37,1174,67.0,0.05706984667802385
38,1092,36.0,0.03296703296703297
39,931,31.0,0.03329752953813104
40,1262,64.0,0.05071315372424723
41,2307,91.0,0.03944516688339835
42,1315,36.0,0.02737642585551331
43,1457,44.0,0.030199039121482498
44,1398,62.0,0.044349070100143065
45,1312,39.0,0.02972560975609756
46,866,51.0,0.05889145496535797
47,2051,98.0,0.04778156996587031
48,1298,70.0,0.053929121725731895
49,1461,68.0,0.04654346338124572
50,1551,47.0,0.030303030303030304
51,840,22.0,0.02619047619047619
52,868,26.0,0.029953917050691243
53,1535,47.0,0.03061889250814332
54,972,61.0,0.06275720164609054
55,1272,82.0,0.06446540880503145
56,1735,72.0,0.0414985590778098
57,1174,69.0,0.05877342419080068
58,1186,32.0,0.026981450252951095
59,1052,28.0,0.026615969581749048
60,1348,86.0,0.06379821958456973
61,1682,78.0,0.04637336504161712
62,1180,86.0,0.07288135593220339
63,575,15.0,0.02608695652173913
64,641,19.0,0.029641185647425898
65,1168,75.0,0.0642123287671233
66,1642,83.0,0.05054811205846529
67,1533,73.0,0.047619047619047616
68,1945,95.0,0.04884318766066838
69,946,29.0,0.0306553911205074
70,862,30.0,0.03480278422273782
71,1308,68.0,0.05198776758409786
72,1304,64.0,0.049079754601226995
73,1390,38.0,0.027338129496402876
74,1443,87.0,0.060291060291060294
75,1344,71.0,0.05282738095238095
76,1519,52.0,0.03423304805793285
77,1170,61.0,0.05213675213675214
78,755,23.0,0.030463576158940398
79,1446,52.0,0.035961272475795295
80,733,54.0,0.07366984993178717
81,696,16.0,0.022988505747126436
82,1791,90.0,0.05025125628140704
83,659,16.0,0.024279210925644917
84,1586,88.0,0.05548549810844893
85,1849,84.0,0.04542996214169821
86,1298,40.0,0.030816640986132512
87,1716,92.0,0.053613053613053616
88,774,22.0,0.028423772609819122
89,864,22.0,0.02546296296296296
90,1598,78.0,0.04881101376720901
91,1266,84.0,0.06635071090047394
92,1531,81.0,0.052906596995427824
93,1236,30.0,0.024271844660194174
94,1274,72.0,0.0565149136577708
95,1327,72.0,0.05425772418990203
96,597,15.0,0.02512562814070352
97,1573,75.0,0.04767959313413859
98,1642,82.0,0.049939098660170524
99,1492,83.0,0.05563002680965148
