,episode length,cumulative reward,average reward
0,1560,46.0,0.029487179487179487
1,1129,63.0,0.05580159433126661
2,1489,46.0,0.03089321692411014
3,1282,40.0,0.031201248049921998
4,638,20.0,0.03134796238244514
5,1248,36.0,0.028846153846153848
6,1720,53.0,0.030813953488372094
7,1608,53.0,0.03296019900497513
8,1530,43.0,0.028104575163398694
9,1418,58.0,0.04090267983074753
10,1195,42.0,0.035146443514644354
11,938,26.0,0.02771855010660981
12,1486,47.0,0.031628532974428
13,1398,44.0,0.031473533619456366
14,705,18.0,0.02553191489361702
15,978,27.0,0.027607361963190184
16,1264,40.0,0.03164556962025317
17,1441,46.0,0.031922276197085354
18,1502,43.0,0.02862849533954727
19,1340,42.0,0.03134328358208955
20,972,50.0,0.051440329218107
21,1536,41.0,0.026692708333333332
22,1249,38.0,0.03042433947157726
23,1507,52.0,0.034505640345056404
24,1481,72.0,0.048615800135043886
25,1300,41.0,0.031538461538461536
26,1663,44.0,0.026458208057727
27,1559,44.0,0.028223220012828735
28,1461,39.0,0.026694045174537988
29,1450,52.0,0.03586206896551724
30,1710,60.0,0.03508771929824561
31,1661,56.0,0.03371462974111981
32,1619,69.0,0.0426189005558987
33,1439,39.0,0.027102154273801252
34,1955,63.0,0.032225063938618924
35,1743,58.0,0.03327596098680436
36,1294,39.0,0.030139103554868624
37,1325,39.0,0.02943396226415094
38,1283,43.0,0.03351519875292284
39,1639,52.0,0.03172666259914582
40,1642,36.0,0.02192448233861145
41,1481,51.0,0.03443619176232275
42,1451,40.0,0.027567195037904894
43,1429,50.0,0.03498950314905528
44,1078,48.0,0.04452690166975881
45,1455,43.0,0.029553264604810996
46,1598,47.0,0.029411764705882353
47,1011,42.0,0.04154302670623145
48,1769,51.0,0.02882984737139627
49,891,29.0,0.03254769921436588
50,1599,54.0,0.03377110694183865
51,1470,43.0,0.029251700680272108
52,1339,44.0,0.03286034353995519
53,1181,35.0,0.029635901778154106
54,1194,34.0,0.02847571189279732
55,1296,35.0,0.02700617283950617
56,1306,54.0,0.04134762633996937
57,1456,47.0,0.032280219780219783
58,1443,50.0,0.03465003465003465
59,1029,28.0,0.027210884353741496
60,1590,60.0,0.03773584905660377
61,1184,32.0,0.02702702702702703
62,1814,62.0,0.034178610804851156
63,1373,46.0,0.033503277494537506
64,1248,43.0,0.03445512820512821
65,997,28.0,0.028084252758274825
66,1981,74.0,0.03735487127713276
67,1110,35.0,0.03153153153153153
68,1139,36.0,0.03160667251975417
69,1598,48.0,0.030037546933667083
70,1245,43.0,0.03453815261044177
71,1337,41.0,0.030665669409124907
72,1536,57.0,0.037109375
73,1200,47.0,0.03916666666666667
74,1496,56.0,0.0374331550802139
75,1412,44.0,0.031161473087818695
76,1250,53.0,0.0424
77,1376,36.0,0.02616279069767442
78,1211,39.0,0.03220478943022296
79,1746,53.0,0.030355097365406643
80,1424,49.0,0.03441011235955056
81,1622,53.0,0.032675709001233046
82,772,19.0,0.02461139896373057
83,1185,35.0,0.029535864978902954
84,1683,62.0,0.0368389780154486
85,1135,32.0,0.028193832599118944
86,1695,56.0,0.03303834808259587
87,1769,65.0,0.03674392312040701
88,1771,58.0,0.03274985883681536
89,1352,40.0,0.029585798816568046
90,1609,49.0,0.030453697949036667
91,1413,43.0,0.03043170559094126
92,1389,44.0,0.03167746580273578
93,601,17.0,0.028286189683860232
94,1173,36.0,0.030690537084398978
95,1336,47.0,0.035179640718562874
96,632,20.0,0.03164556962025317
97,1395,69.0,0.04946236559139785
98,1314,42.0,0.0319634703196347
99,1322,66.0,0.049924357034795766
