,episode length,cumulative reward,average reward
0,309,5.0,0.016181229773462782
1,500,12.0,0.024
2,454,9.0,0.019823788546255508
3,295,4.0,0.013559322033898305
4,428,7.0,0.016355140186915886
5,368,7.0,0.019021739130434784
6,440,8.0,0.01818181818181818
7,326,5.0,0.015337423312883436
8,385,7.0,0.01818181818181818
9,604,13.0,0.02152317880794702
10,554,10.0,0.018050541516245487
11,519,9.0,0.017341040462427744
12,489,9.0,0.018404907975460124
13,277,4.0,0.01444043321299639
14,327,5.0,0.01529051987767584
15,295,4.0,0.013559322033898305
16,282,4.0,0.014184397163120567
17,461,12.0,0.026030368763557483
18,515,10.0,0.019417475728155338
19,513,10.0,0.01949317738791423
20,254,4.0,0.015748031496062992
21,422,7.0,0.016587677725118485
22,635,11.0,0.01732283464566929
23,344,9.0,0.02616279069767442
24,498,10.0,0.020080321285140562
25,298,4.0,0.013422818791946308
26,538,11.0,0.020446096654275093
27,344,5.0,0.014534883720930232
28,381,10.0,0.026246719160104987
29,365,6.0,0.01643835616438356
30,379,6.0,0.0158311345646438
31,472,8.0,0.01694915254237288
32,330,6.0,0.01818181818181818
33,337,6.0,0.017804154302670624
34,327,8.0,0.024464831804281346
35,314,5.0,0.01592356687898089
36,364,6.0,0.016483516483516484
37,310,5.0,0.016129032258064516
38,456,9.0,0.019736842105263157
39,444,8.0,0.018018018018018018
40,530,13.0,0.024528301886792454
41,533,13.0,0.024390243902439025
42,295,5.0,0.01694915254237288
43,429,7.0,0.016317016317016316
44,384,13.0,0.033854166666666664
45,306,5.0,0.016339869281045753
46,457,10.0,0.02188183807439825
47,449,8.0,0.017817371937639197
48,260,4.0,0.015384615384615385
49,354,6.0,0.01694915254237288
50,326,5.0,0.015337423312883436
51,463,9.0,0.019438444924406047
52,343,6.0,0.01749271137026239
53,276,4.0,0.014492753623188406
54,319,6.0,0.018808777429467086
55,354,6.0,0.01694915254237288
56,625,16.0,0.0256
57,459,9.0,0.0196078431372549
58,376,6.0,0.015957446808510637
59,324,5.0,0.015432098765432098
60,331,5.0,0.015105740181268883
61,347,5.0,0.01440922190201729
62,321,6.0,0.018691588785046728
63,421,10.0,0.023752969121140142
64,398,6.0,0.01507537688442211
65,187,2.0,0.0106951871657754
66,458,8.0,0.017467248908296942
67,354,6.0,0.01694915254237288
68,439,8.0,0.018223234624145785
69,407,7.0,0.0171990171990172
70,386,7.0,0.018134715025906734
71,433,7.0,0.016166281755196306
72,355,6.0,0.016901408450704224
73,451,9.0,0.019955654101995565
74,394,6.0,0.015228426395939087
75,343,5.0,0.014577259475218658
76,245,4.0,0.0163265306122449
77,358,6.0,0.01675977653631285
78,615,15.0,0.024390243902439025
79,509,10.0,0.019646365422396856
80,329,6.0,0.0182370820668693
81,307,5.0,0.016286644951140065
82,533,9.0,0.016885553470919325
83,375,14.0,0.037333333333333336
84,361,6.0,0.01662049861495845
85,151,1.0,0.006622516556291391
86,405,7.0,0.01728395061728395
87,409,8.0,0.019559902200488997
88,427,7.0,0.01639344262295082
89,371,6.0,0.016172506738544475
90,385,7.0,0.01818181818181818
91,354,6.0,0.01694915254237288
92,672,17.0,0.025297619047619048
93,471,9.0,0.01910828025477707
94,325,5.0,0.015384615384615385
95,423,8.0,0.018912529550827423
96,358,6.0,0.01675977653631285
97,456,8.0,0.017543859649122806
98,372,6.0,0.016129032258064516
99,329,5.0,0.015197568389057751
