,episode length,cumulative reward,average reward
0,1145,30.0,0.026200873362445413
1,1116,40.0,0.035842293906810034
2,1018,61.0,0.05992141453831041
3,1076,29.0,0.02695167286245353
4,1558,47.0,0.030166880616174584
5,1674,52.0,0.03106332138590203
6,1660,53.0,0.031927710843373494
7,1224,34.0,0.027777777777777776
8,937,29.0,0.030949839914621132
9,1371,38.0,0.027716994894237783
10,1452,41.0,0.028236914600550965
11,1566,49.0,0.031289910600255426
12,1794,54.0,0.030100334448160536
13,1219,29.0,0.02378999179655455
14,1081,28.0,0.025901942645698426
15,894,23.0,0.025727069351230425
16,1430,45.0,0.03146853146853147
17,1025,29.0,0.02829268292682927
18,1111,31.0,0.0279027902790279
19,1298,36.0,0.02773497688751926
20,1261,35.0,0.02775574940523394
21,1328,42.0,0.03162650602409638
22,1371,38.0,0.027716994894237783
23,1207,42.0,0.0347970173985087
24,930,30.0,0.03225806451612903
25,1132,32.0,0.028268551236749116
26,1304,45.0,0.03450920245398773
27,1120,33.0,0.029464285714285714
28,1544,67.0,0.04339378238341969
29,1653,49.0,0.029643073200241985
30,933,26.0,0.027867095391211148
31,1186,37.0,0.031197301854974706
32,953,23.0,0.024134312696747113
33,1657,67.0,0.04043452021726011
34,1130,31.0,0.02743362831858407
35,1417,41.0,0.02893436838390967
36,997,26.0,0.026078234704112337
37,1060,29.0,0.027358490566037737
38,852,20.0,0.023474178403755867
39,1560,57.0,0.03653846153846154
40,1284,37.0,0.02881619937694704
41,1651,45.0,0.027256208358570563
42,1601,50.0,0.03123048094940662
43,1501,45.0,0.029980013324450366
44,1219,32.0,0.026251025430680888
45,1480,40.0,0.02702702702702703
46,1292,37.0,0.02863777089783282
47,1128,30.0,0.026595744680851064
48,1474,62.0,0.04206241519674356
49,1379,39.0,0.028281363306744016
50,1132,37.0,0.03268551236749117
51,1211,42.0,0.03468208092485549
52,1574,47.0,0.02986022871664549
53,1642,48.0,0.029232643118148598
54,1230,36.0,0.02926829268292683
55,1440,47.0,0.03263888888888889
56,1270,53.0,0.04173228346456693
57,809,19.0,0.023485784919653894
58,1555,51.0,0.03279742765273312
59,1195,36.0,0.0301255230125523
60,1355,50.0,0.03690036900369004
61,1217,38.0,0.031224322103533278
62,1779,52.0,0.02922990444069702
63,1098,29.0,0.026411657559198543
64,1556,47.0,0.030205655526992288
65,1450,40.0,0.027586206896551724
66,1131,34.0,0.030061892130857647
67,1590,70.0,0.0440251572327044
68,819,37.0,0.045177045177045176
69,1438,43.0,0.029902642559109873
70,1937,79.0,0.04078471863706763
71,1384,39.0,0.028179190751445087
72,1066,30.0,0.028142589118198873
73,1637,53.0,0.032376298106292
74,1400,47.0,0.03357142857142857
75,1436,39.0,0.027158774373259052
76,1225,36.0,0.029387755102040815
77,1071,34.0,0.031746031746031744
78,1514,49.0,0.03236459709379128
79,1047,37.0,0.03533906399235912
80,1315,38.0,0.028897338403041824
81,1211,38.0,0.03137902559867878
82,1108,30.0,0.02707581227436823
83,1308,43.0,0.03287461773700306
84,933,23.0,0.02465166130760986
85,678,20.0,0.029498525073746312
86,1123,30.0,0.026714158504007122
87,918,26.0,0.02832244008714597
88,1685,54.0,0.032047477744807124
89,1519,44.0,0.028966425279789335
90,776,27.0,0.03479381443298969
91,1194,31.0,0.025963149078726967
92,1424,43.0,0.030196629213483147
93,1442,45.0,0.031206657420249653
94,1127,29.0,0.025732031943212066
95,1278,34.0,0.026604068857589983
96,1000,34.0,0.034
97,1572,51.0,0.03244274809160305
98,1506,53.0,0.0351925630810093
99,1684,50.0,0.029691211401425176
